From	To
A0A024R161	DNAJC25-GNG10
A0A024R4E5	HDLBP
A0A024RA52	PSMA2
A0A075B6F9	NOSIP
A0A075B6K9	IGLC2
A0A075B6N7	IGHA2
A0A075B6N8	IGHG3
A0A075B6S2	IGKV2D-29
A0A075B6S5	IGKV1-27
A0A075B738	PECAM1
A0A075B7D0	IGHV1OR15-1
A0A075B7D9	TAF15
A0A087WT20	DCAF13
A0A087WT44	HMOX2
A0A087WT59	TTR
A0A087WTJ2	GIMAP1-GIMAP5
A0A087WTT2	TMEM230
A0A087WU03	HNRNPDL
A0A087WU53	MAGT1
A0A087WUB9	CTNNBL1
A0A087WUM3	NDUFC2-KCTD14
A0A087WUT6	EIF5B
A0A087WUX1	ENKUR
A0A087WVQ6	CLTC
A0A087WVZ0	MPC1
A0A087WW23	ALOX5AP
A0A087WW66	PSMD1
A0A087WW89	IGHV3-72
A0A087WWM0	TRAPPC3
A0A087WWU8	TPM3
A0A087WX97	BCL2L13
A0A087WXB8	ST3GAL6
A0A087WXL6	VPS11
A0A087WXT3	ZNF33B
A0A087WY31	YTHDF3
A0A087WY68	PCSK6
A0A087WY85	UBE2D3
A0A087WYR3	TPD52L2
A0A087WZE9	HMGN3
A0A087WZM2	RNASET2
A0A087WZN1	IDH3B
A0A087WZT3	BOLA2-SMG1P6
A0A087WZV0	PPIP5K2
A0A087X0R6	SNX12
A0A087X0V5	OAS2
A0A087X1N8	SERPINB6
A0A087X1R1	SMTN
A0A087X1S7	CD48
A0A087X1U0	TPSB2
A0A087X1U6	EPPK1
A0A087X1Z3	PSME2
A0A087X279	IFIT2
A0A087X2D5	MRPL45
A0A087X2H1	HECTD1
A0A087X2I1	PSMC6
A0A087X2I5	LSM7
A0A088AWN2	WDR20
A0A096LP25	AAK1
A0A096LP69	CD99
A0A096LPC5	WASHC2C
A0A096LPE2	SAA2-SAA4
A0A0A0MQR2	RTF2
A0A0A0MQS9	LAMA4
A0A0A0MQU4	SCLY
A0A0A0MQX8	MBNL1
A0A0A0MR66	RBM10
A0A0A0MRI2	SNX6
A0A0A0MRJ7	F5
A0A0A0MRK6	MTX1
A0A0A0MRM9	NOLC1
A0A0A0MRR7	SNRPC
A0A0A0MRZ8	IGKV3D-11
A0A0A0MS08	IGHG1
A0A0A0MS09	IGHD
A0A0A0MSE2	HADH
A0A0A0MSI8	EXOC5
A0A0A0MSS8	AKR1C3
A0A0A0MSV9	TAPBP
A0A0A0MT11	CAMK2G
A0A0A0MT22	PTPRC
A0A0A0MT35	PRXL2B
A0A0A0MT64	FDXR
A0A0A0MT83	IVD
A0A0A0MTH3	ILK
A0A0A0MTJ9	NCEH1
A0A0A0MTN0	CUL2
A0A0A0MTR7	RNF213
A0A0A6YY92	ADSL
A0A0A6YY96	IREB2
A0A0A6YYH1	C15orf38-AP3S2
A0A0A6YYJ8	LUC7L2
A0A0A6YYL2	SULT1A4
A0A0A6YYL4	PAM16
A0A0A6YYL6	RPL17-C18orf32
A0A0B4J1R7	BORCS7-ASMT
A0A0B4J1S4	SELENOF
A0A0B4J1V8	PPAN-P2RY11
A0A0B4J1W0	MED24
A0A0B4J1Y8	IGLV9-49
A0A0B4J220	C11orf98
A0A0B4J231	IGLL5
A0A0B4J2C3	TPT1
A0A0C4DFM2	ZNF574
A0A0C4DFN1	MFN1
A0A0C4DFN3	MGLL
A0A0C4DFX3	EMILIN1
A0A0C4DFX9	NELFA
A0A0C4DFZ2	ARSA
A0A0C4DG17	RPSA
A0A0C4DG89	DDX46
A0A0C4DGB5	CAST
A0A0C4DGG9	CHD4
A0A0C4DGQ5	CAPNS1
A0A0C4DH31	IGHV1-18
A0A0C4DH34	IGHV4-28
A0A0C4DH38	IGHV5-51
A0A0C4DH55	IGKV3D-7
A0A0C4DH72	IGKV1-6
A0A0D9SEI0	MTRES1
A0A0D9SEY1	MAP4K4
A0A0D9SF53	DDX3X
A0A0D9SFE4	DNM1
A0A0D9SFG6	CYTH2
A0A0D9SG79	UBAP1
A0A0D9SGE8	PHF6
A0A0D9SGF6	SPTAN1
A0A0G2JH66	HLA-F
A0A0G2JHC2	PPP1R18
A0A0G2JIF2	HLA-A
A0A0G2JIW1	HSPA1B
A0A0G2JJD3	ABHD16A
A0A0G2JJP1	TRIM15
A0A0G2JK05	LY6G6F-LY6G6D
A0A0G2JK23	BAG6
A0A0G2JL52	VARS2
A0A0G2JLU6	FCAR
A0A0G2JLU7	KIR3DL2
A0A0G2JLV7	LAIR1
A0A0G2JMD5	PRAMEF33
A0A0G2JMH6	HLA-DRA
A0A0G2JNW7	SLC12A7
A0A0G2JNY3	ARHGAP27
A0A0G2JPH5	LILRB2
A0A0G2JPP5	SCRIB
A0A0G2JPR0	C4A
A0A0G2JS53	NAIP
A0A0J9YVY3	IGHV7-4-1
A0A0J9YX62	DNAJB6
A0A0J9YXJ0	CELF2
A0A0J9YXX1	IGHV5-10-1
A0A0J9YY34	NHSL2
A0A0U1RQK7	EIF4G3
A0A0U1RQQ9	SCYL2
A0A0U1RQV1	ERVK3-1
A0A0U1RRE5	NBDY
A0A0U1RRK1	MICU1
A0A0X1KG71	NELFB
A0A140T913	HLA-A
A0A140T9L8	MPIG6B
A0A140T9M0	HLA-C
A0A140T9S8	HLA-DQB1
A0A140T9T7	TAP1
A0A140T9U8	HLA-C
A0A140TA33	TNXB
A0A140TA86	MICOS13
A0A182DWE9	HLA-DPB1
A0A182DWH4	HLA-DRB3
A0A1B0GTW1	TJP2
A0A1B0GU45	IRAG2
A0A1B0GUA8	KIF13A
A0A1B0GUI1	RALGAPA1
A0A1B0GUS7	UNC13B
A0A1B0GUZ7	EFR3A
A0A1B0GV05	RAP1GAP2
A0A1B0GVF3	CPT2
A0A1B0GVG4	CCDC194
A0A1B0GVH5	FTO
A0A1B0GW23	ABHD14A-ACY1
A0A1B0GW72	PLEKHG4B
A0A1B0GW77	ALDH7A1
A0A1B0GWK2	KAZN
A0A1C7CYX0	EXOC3L2
A0A1C7CYX1	MIDEAS
A0A1C7CYX9	DPYSL2
A0A1C7CYZ0	ABR
