"Accession","Abundances..Grouped...126.1","Abundances..Grouped...127.1","Abundances..Grouped...128.1","Abundances..Grouped...129.1","Abundances..Grouped...130.1","Abundances..Grouped...131.1","Abundances..Grouped...126.2","Abundances..Grouped...127.2","Abundances..Grouped...128.2","Abundances..Grouped...129.2","Abundances..Grouped...130.2","Abundances..Grouped...131.2","Abundances..Grouped...126.3","Abundances..Grouped...127.3","Abundances..Grouped...128.3","Abundances..Grouped...129.3","Abundances..Grouped...130.3","Abundances..Grouped...131.3"
"A0A024R161",NA,NA,NA,NA,NA,NA,137.5,13.3,148,145.3,156,NA,136.3,12.8,143.4,152.5,155,NA
"A0A024R216",133.7,138.1,89.4,109.9,71.9,170.9,91.9,152,62.2,76.2,65.1,152.5,96.6,124.3,78.6,95.7,59.6,145.2
"A0A024R4E5",151.5,106.1,91.4,120.1,104,173.6,106.9,124.7,132.1,119,145.6,103.7,118.1,123.7,92.3,137.6,120.9,158.4
"A0A024R644",103.2,72.1,158,114.1,152.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A024R6I7",225.1,90.1,110.9,106.5,95.2,84.7,180.5,115,84.6,99.6,73.2,113.7,200.5,96.8,89.8,101.9,74.6,89.2
"A0A024RA52",133.1,98.8,140.8,158.8,184.4,NA,167,130.7,138.7,140.9,151.2,37.4,222.6,NA,267.6,243.6,NA,NA
"A0A075B6F9",NA,77.7,128.8,194.2,199.4,NA,57,101.6,106.4,184.7,150.3,NA,24.7,92.1,101.9,139.1,149.5,92.6
"A0A075B6K9",224.9,120,74.9,54.1,54,96.2,213.5,107.3,76.8,54.9,60.1,116.4,212.6,113.2,85.7,57.2,62.3,96.6
"A0A075B6N7",600,NA,NA,NA,NA,NA,285.7,78.3,58.7,69.8,65.3,42.2,341.3,67.4,83.6,107.7,NA,NA
"A0A075B6N8",204.4,212.1,45.6,56.9,43.2,109.8,220,199.2,37.2,55.8,35.5,113,197.6,208.7,55.1,55.8,37.5,120
"A0A075B6S2",NA,NA,NA,NA,NA,NA,238.5,103.7,79,96,60.9,139.9,NA,NA,NA,NA,NA,NA
"A0A075B6S5",215.3,60.4,123.2,111.3,120,NA,165.8,NA,180.6,140.1,113.5,NA,282,NA,335.5,116.6,67.4,NA
"A0A075B738",143.9,84.6,130.8,105.9,102.8,75.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A075B7D0",524.8,NA,150.5,NA,NA,NA,440.1,NA,137,45.9,NA,NA,473.8,NA,174.4,NA,77.9,NA
"A0A075B7D9",NA,NA,NA,NA,NA,NA,NA,NA,251.2,NA,348.8,NA,134.1,132.9,140.6,106.1,86.2,NA
"A0A087WSV8",45.8,128.3,78.6,75.2,71.2,200.9,NA,NA,NA,NA,NA,NA,95.4,95.2,114,113.1,99.7,82.6
"A0A087WT12",90.8,150.1,94.5,127.7,138.1,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A087WT20",NA,NA,NA,NA,NA,NA,112,NA,163.7,156.1,168.3,NA,247,179.7,NA,NA,173.3,NA
"A0A087WT44",205.2,93.2,131.3,67.4,102.9,NA,96.1,95.6,81.1,108.4,98,181.2,107.8,112.6,86.2,110.7,92.3,180.9
"A0A087WT59",120.9,84.2,137.3,138.6,119,NA,99.4,104.1,155.1,190.2,103.3,NA,123.7,102.6,126.4,117.6,94.7,52.6
"A0A087WTJ2",88.3,95.5,65.9,108.3,91.4,150.6,70.4,103.6,53.8,85.1,77.8,209.3,83.7,91.9,87.5,130.8,138.2,122.8
"A0A087WTP3",94.2,80.8,101.9,166.5,107.9,132.9,127.5,90.8,85.3,105.2,106.2,142.1,90.4,91.2,92.6,114.2,108.5,122.8
"A0A087WTQ6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.9,68.7,54.4,64.6,64.7,258.8
"A0A087WTT2",77.3,107.5,76.4,67.2,76.6,194.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A087WU03",138.6,NA,196.8,155.1,109.5,NA,178.3,NA,165.8,130.4,125.5,NA,147.8,NA,166.3,184.3,101.6,NA
"A0A087WU53",121,64.7,87.2,100.8,127.2,198,89.1,122.6,103.7,99,91.5,282.4,39.2,149.9,85.2,84.6,98.8,284.6
"A0A087WUB9",93.9,88.8,116.3,125.7,134.1,41.1,137.8,51.6,116.7,151.1,142.8,NA,123.5,72.8,132.8,120.8,129.1,42
"A0A087WUM0",72.2,190.7,71.3,83.6,81.7,100.4,115.9,147.9,85.8,85.2,95.3,69.9,66.8,129.9,130.3,72,100.1,100.9
"A0A087WUM3",NA,NA,NA,NA,NA,NA,89.9,107.9,92.2,98.2,104.5,160.9,NA,NA,NA,NA,NA,NA
"A0A087WUT6",104.8,98.1,86.2,113.9,107.6,89.3,105.8,119.6,73.3,88.3,82.9,130.1,128.1,103.4,92.4,101.9,105.2,155.3
"A0A087WUX1",NA,NA,NA,NA,NA,NA,91.4,21.4,168.4,129.8,140.3,48.6,NA,NA,NA,NA,NA,NA
"A0A087WV05",137.3,158.8,98.6,106.1,99.1,NA,224.4,NA,133.5,145.1,97.1,NA,179,33.4,143.1,116.4,128,NA
"A0A087WVA8",23.6,58.1,116,88.1,140.7,173.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A087WVC6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.4,103.1,112.3,112.4,127.4,107.7
"A0A087WVQ6",101.2,98.9,113.6,107.6,110.2,73,104.5,106,111.1,107.5,109.4,76.8,118.5,119.8,112.5,115.7,108.5,71.1
"A0A087WVZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.7,124.4,62.4,56.1,52.9,253.6
"A0A087WW23",86.5,96.3,104.2,88.9,125.1,99.1,83.6,102.3,75.1,76.4,128.2,134.4,133.2,72.9,92.2,88.8,101.3,111.5
"A0A087WW39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.4,92.4,82,99.4,68.5,148.3
"A0A087WW66",119.8,88.2,146.2,116.1,110.6,102.3,109.4,106.4,94.2,126.5,157.5,120.3,141.1,127,92.4,101.8,122.5,136.8
"A0A087WW89",281.6,107.1,87.2,60.9,47.7,30.9,314.2,113.7,67.6,37.6,48.2,28.2,251.5,134.4,61.2,46.3,44.3,62.2
"A0A087WWE2",51.9,294.5,26.4,156.5,95,150,107,105.2,106.2,140.5,97.1,66.1,72,113.6,82.6,74.3,86,171.5
"A0A087WWM0",107.1,83.6,107.9,169,142.5,42.9,188.5,32.7,137.6,148.2,140.8,NA,161.3,47.4,147.2,165.4,133.8,NA
"A0A087WWS1",344.8,NA,111.3,143.9,NA,NA,NA,NA,NA,NA,NA,NA,156.8,89.6,61.6,70.2,77.6,144.2
"A0A087WWU8",108.1,89.8,128.5,108,105.7,66.5,117.7,94.7,107.2,98.7,103.4,87,96.4,99.9,109.7,108.6,107.4,104.1
"A0A087WX97",NA,NA,NA,NA,NA,NA,94.9,101.5,106.1,101.5,105.7,180.6,NA,NA,NA,NA,NA,NA
"A0A087WXB8",180.6,35.3,121.6,109,133.3,20.2,NA,NA,NA,NA,NA,NA,193.1,27,164.2,115.1,100.6,NA
"A0A087WXL6",281.2,NA,161.7,194.6,243.9,NA,93.6,65.5,159,106.3,187.4,230.1,102.8,94,106.2,121.3,126.1,146.3
"A0A087WXT3",NA,NA,NA,NA,NA,NA,66.4,266.8,79.1,90.5,97.2,NA,NA,NA,NA,NA,NA,NA
"A0A087WY31",NA,NA,NA,NA,NA,NA,88.3,200.4,18.9,65,32.7,194.7,120.2,190.4,58.6,54.8,43.6,132.5
"A0A087WY68",161.3,132.3,124.1,101.6,82.2,127.5,77.5,165.8,82.9,63.8,72.1,154.4,108.3,131.2,81.9,80.2,73.2,175.3
